tid,attribute,correct_val
1856,sensor34,104.51
1857,sensor2,45.31
1857,sensor34,107.68
1858,sensor2,45.31
1858,sensor34,110.39
1859,sensor2,45.31
1859,sensor34,107.29
1860,sensor2,45.31
1860,sensor34,113.48
1861,sensor2,45.31
1861,sensor34,113.73
1862,sensor2,45.31
1862,sensor34,113.7
1863,sensor2,45.36
1863,sensor34,113.15
1864,sensor2,45.36
1864,sensor34,112.18
1865,sensor2,45.4
1865,sensor34,110.81
1866,sensor2,45.4
1866,sensor34,109.15
1867,sensor1,50.87
1867,sensor2,45.4
1867,sensor34,107.35
1868,sensor1,50.87
1868,sensor2,45.4
1868,sensor34,105.5
1869,sensor1,50.78
1869,sensor2,45.4
1869,sensor34,103.62
1870,sensor1,50.78
1870,sensor2,45.4
1870,sensor34,108.07
1871,sensor1,50.78
1871,sensor2,45.4
1871,sensor34,103.91
1872,sensor1,50.87
1872,sensor2,45.4
1872,sensor34,100.26
1873,sensor1,50.82
1873,sensor2,45.4
1873,sensor34,96.88
1874,sensor1,50.82
1874,sensor2,45.4
1874,sensor34,93.49
1875,sensor1,50.78
1875,sensor34,90.89
1876,sensor1,50.78
1876,sensor34,88.8
1877,sensor1,50.87
1877,sensor34,86.98
1878,sensor1,50.78
1878,sensor34,84.9
1879,sensor1,50.82
1879,sensor34,83.85
1880,sensor1,50.87
1880,sensor34,83.85
1881,sensor1,50.95
1881,sensor34,82.29
1882,sensor1,50.87
1882,sensor34,80.47
1883,sensor1,50.82
1883,sensor34,82.55
1884,sensor1,50.82
1884,sensor34,88.8
1885,sensor1,50.82
1885,sensor34,90.03
1886,sensor1,50.82
1886,sensor34,89.16
1887,sensor1,50.82
1887,sensor34,88.0
1888,sensor1,50.87
1888,sensor34,86.64
1889,sensor1,50.82
1889,sensor34,85.27
1890,sensor1,50.82
1890,sensor34,83.96
1891,sensor1,50.87
1891,sensor34,82.79
1892,sensor1,50.82
1892,sensor34,88.8
1893,sensor1,50.82
1893,sensor34,85.94
1894,sensor1,50.87
1894,sensor34,83.07
1895,sensor1,50.87
1895,sensor34,79.95
1942,sensor0,46.31
1942,sensor1,51.0
1943,sensor0,46.31
1943,sensor1,51.0
1943,sensor34,91.67
1944,sensor0,46.27
1944,sensor1,51.0
1944,sensor34,92.71
1945,sensor0,46.27
1945,sensor1,51.0
1945,sensor34,92.71
1946,sensor0,46.27
1946,sensor1,50.95
1946,sensor34,94.79
